"","satisfaction","Customer.Type","Age","Type.of.Travel","Class","Flight.Distance","Seat.comfort","Departure.Arrival.time.convenient","Food.and.drink","Gate.location","Inflight.wifi.service","Inflight.entertainment","Online.support","Ease.of.Online.booking","On.board.service","Leg.room.service","Baggage.handling","Checkin.service","Cleanliness","Online.boarding","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes"
"43","dissatisfied","Loyal Customer",67,"Personal Travel","Eco",3194,1,2,1,3,4,1,4,4,2,2,4,3,3,4,0,0
"44","dissatisfied","disloyal Customer",23,"Business travel","Eco",2095,2,2,2,3,4,2,4,4,3,5,4,4,4,4,0,0
"45","dissatisfied","disloyal Customer",36,"Business travel","Business",2891,1,1,1,3,3,1,3,3,5,2,3,5,4,3,0,2
"46","dissatisfied","Loyal Customer",30,"Personal Travel","Eco",2655,3,5,3,5,3,2,1,2,3,2,1,1,2,1,123,164
"47","satisfied","Loyal Customer",48,"Business travel","Business",2928,4,4,4,4,2,5,5,5,5,5,5,4,5,5,17,1
"48","dissatisfied","Loyal Customer",39,"Business travel","Eco",1841,3,4,4,4,3,3,3,3,4,4,2,3,3,3,53,50
"49","dissatisfied","Loyal Customer",32,"Business travel","Business",5282,1,2,2,2,1,1,1,4,2,4,3,1,3,1,178,175
"50","dissatisfied","Loyal Customer",72,"Business travel","Business",3620,3,3,3,3,3,3,3,4,5,3,4,3,3,3,290,317
"51","satisfied","Loyal Customer",50,"Personal Travel","Business",549,4,1,1,1,2,5,3,4,4,4,4,4,4,3,0,0
"52","satisfied","Loyal Customer",39,"Business travel","Business",1579,3,3,3,3,2,5,4,5,5,5,5,4,5,5,15,5
"53","satisfied","Loyal Customer",57,"Personal Travel","Eco",1820,5,5,5,3,5,5,5,5,3,4,5,5,4,5,0,0
"54","dissatisfied","Loyal Customer",44,"Business travel","Eco",1474,3,1,1,1,3,3,3,3,2,1,3,3,3,3,0,0
"55","satisfied","Loyal Customer",53,"Personal Travel","Eco",592,2,2,2,2,4,4,4,5,5,5,5,3,5,4,10,0
"56","satisfied","Loyal Customer",48,"Business travel","Business",403,4,1,4,4,3,5,4,2,2,2,2,5,2,3,2,0
"57","dissatisfied","Loyal Customer",54,"Business travel","Business",1600,3,3,3,3,4,3,3,3,3,3,3,2,3,3,34,10
"58","dissatisfied","disloyal Customer",21,"Business travel","Eco",2066,3,1,3,4,3,3,3,3,1,2,4,3,4,3,0,0
"59","satisfied","Loyal Customer",22,"Business travel","Business",2824,4,4,4,4,4,4,4,4,3,4,4,4,5,4,0,0
"60","satisfied","Loyal Customer",34,"Personal Travel","Eco",1881,3,3,3,3,2,5,5,4,4,4,4,5,4,5,0,2
"61","satisfied","Loyal Customer",17,"Personal Travel","Eco",2733,3,3,3,3,4,4,4,4,4,5,4,4,4,3,7,39
"62","satisfied","Loyal Customer",37,"Business travel","Business",986,3,1,3,3,3,3,4,4,4,4,4,2,4,5,0,26
"63","satisfied","Loyal Customer",50,"Business travel","Business",3839,1,1,1,1,3,5,5,4,4,4,4,5,4,4,36,53
"64","satisfied","Loyal Customer",31,"Business travel","Business",2702,1,1,1,1,4,4,4,4,3,2,3,4,1,4,2,0
"65","dissatisfied","Loyal Customer",56,"Personal Travel","Eco",4391,3,3,4,3,4,2,2,2,1,3,2,2,4,2,0,0
"66","dissatisfied","Loyal Customer",41,"Personal Travel","Eco",2054,4,4,4,4,4,4,4,4,5,2,4,5,5,4,4,0
"67","satisfied","Loyal Customer",28,"Business travel","Business",5128,0,4,0,4,5,5,5,5,1,3,5,2,5,5,0,0
"68","satisfied","Loyal Customer",63,"Personal Travel","Eco Plus",2366,5,5,5,5,3,3,1,5,5,5,5,2,5,3,15,0
"69","satisfied","Loyal Customer",53,"Business travel","Business",235,0,4,0,1,2,4,5,1,1,1,1,4,1,5,0,0
"70","satisfied","Loyal Customer",30,"Business travel","Business",3844,5,5,2,5,5,5,5,5,5,5,4,1,2,5,47,88
"71","satisfied","Loyal Customer",60,"Business travel","Business",884,5,5,5,5,2,5,5,4,4,4,4,4,4,3,75,60
"72","satisfied","Loyal Customer",50,"Business travel","Business",1458,3,3,3,3,2,4,5,4,4,4,4,5,4,4,25,8
"73","satisfied","Loyal Customer",30,"Business travel","Business",1373,0,5,0,5,1,1,1,1,1,2,5,1,3,1,0,0
"74","satisfied","Loyal Customer",25,"Personal Travel","Eco",3692,1,1,1,1,5,1,3,4,4,4,4,5,4,2,52,12
"75","dissatisfied","Loyal Customer",54,"Business travel","Eco",297,2,2,2,2,4,4,3,2,2,2,2,3,2,4,0,0
"76","satisfied","Loyal Customer",27,"Personal Travel","Eco",2109,2,2,2,2,5,5,5,5,2,3,2,4,4,5,0,0
"77","dissatisfied","Loyal Customer",65,"Business travel","Eco",1781,2,1,1,1,2,2,2,2,4,5,2,1,2,2,0,4
"78","satisfied","Loyal Customer",42,"Business travel","Business",256,4,4,4,4,1,2,5,4,4,4,5,1,4,5,0,0
"79","satisfied","Loyal Customer",51,"Business travel","Business",1799,1,1,1,1,5,4,5,5,5,5,5,4,5,5,3,13
"80","satisfied","Loyal Customer",32,"Business travel","Business",1845,1,1,1,1,4,4,4,4,4,3,4,5,4,4,100,88
"81","satisfied","Loyal Customer",22,"Business travel","Eco Plus",2144,4,1,5,5,4,4,4,4,2,4,2,3,4,4,19,6
"82","satisfied","Loyal Customer",56,"Business travel","Business",2800,2,2,2,2,5,4,5,5,5,5,5,4,5,3,0,0
"83","satisfied","Loyal Customer",39,"Business travel","Business",2140,3,3,3,3,3,5,5,4,4,4,4,4,4,3,44,46
"84","dissatisfied","disloyal Customer",64,"Business travel","Eco",1621,4,3,4,4,5,4,4,5,4,5,3,2,3,5,0,24
"85","dissatisfied","disloyal Customer",40,"Business travel","Eco",1742,1,1,1,1,4,1,4,4,3,3,1,2,2,4,22,14
"86","satisfied","Loyal Customer",61,"Personal Travel","Eco",240,2,2,2,2,5,4,5,5,5,5,5,5,5,3,0,0
"87","dissatisfied","Loyal Customer",64,"Personal Travel","Eco",101,4,4,4,4,3,1,2,3,3,4,3,4,3,1,0,0
"88","dissatisfied","Loyal Customer",52,"Personal Travel","Eco",1552,1,4,1,3,2,1,2,2,5,3,4,5,5,2,0,0
"89","satisfied","Loyal Customer",46,"Business travel","Eco",316,4,5,5,5,2,2,1,4,4,4,4,1,4,2,0,0
"90","satisfied","Loyal Customer",33,"Business travel","Business",4728,4,5,4,4,4,4,4,4,5,3,4,3,4,4,0,0
"91","satisfied","Loyal Customer",32,"Business travel","Business",3600,1,1,1,1,4,4,5,4,3,2,4,4,5,4,0,0
"92","satisfied","Loyal Customer",58,"Business travel","Business",830,4,4,4,4,5,4,5,5,5,5,5,3,5,3,0,0
"93","dissatisfied","Loyal Customer",16,"Personal Travel","Eco",2872,2,5,2,3,1,2,1,1,4,5,3,3,5,1,22,0
"94","dissatisfied","disloyal Customer",37,"Business travel","Eco",1285,1,2,1,3,1,1,1,1,1,4,3,4,3,1,24,20
"95","satisfied","Loyal Customer",59,"Business travel","Eco Plus",1786,5,1,1,1,5,5,5,5,3,5,3,3,5,5,0,0
"96","dissatisfied","disloyal Customer",25,"Business travel","Eco",1821,1,4,2,3,4,2,1,4,3,5,3,4,4,4,0,0
"97","satisfied","Loyal Customer",55,"Business travel","Business",2361,1,1,1,1,3,3,5,4,4,4,4,4,4,4,5,0
"98","satisfied","disloyal Customer",23,"Business travel","Business",2292,5,0,5,1,3,5,2,3,5,2,5,3,5,3,40,35
"99","dissatisfied","Loyal Customer",51,"Business travel","Business",2651,2,5,5,5,5,4,3,2,2,2,2,3,2,4,0,14
"100","satisfied","Loyal Customer",49,"Business travel","Eco Plus",388,2,3,2,3,4,5,3,2,2,2,2,5,2,1,0,0
"101","satisfied","Loyal Customer",41,"Business travel","Eco Plus",2912,4,1,1,1,5,4,5,5,4,3,4,2,1,5,0,0
"102","satisfied","Loyal Customer",41,"Personal Travel","Eco",2126,3,3,4,3,5,5,5,5,4,5,4,3,5,5,0,0
"103","satisfied","Loyal Customer",33,"Business travel","Business",2682,3,5,3,3,5,5,5,5,4,3,4,4,4,5,0,0
"104","satisfied","Loyal Customer",51,"Business travel","Business",3357,2,2,1,2,2,2,2,4,2,4,4,2,4,2,127,162
"105","satisfied","Loyal Customer",27,"Business travel","Business",1841,3,3,3,3,4,4,4,4,5,5,4,4,4,4,0,2
"106","satisfied","Loyal Customer",46,"Personal Travel","Eco",1295,2,2,2,2,3,5,5,5,5,5,5,4,5,4,0,0
"107","satisfied","Loyal Customer",51,"Business travel","Business",686,2,2,2,2,1,1,3,4,4,4,4,3,4,2,0,0
"108","satisfied","Loyal Customer",56,"Business travel","Business",1630,5,5,3,5,4,5,5,5,5,5,5,3,5,4,0,0
"109","dissatisfied","disloyal Customer",22,"Business travel","Eco",1938,4,0,4,3,5,4,5,5,4,5,4,3,4,5,22,27
"110","dissatisfied","disloyal Customer",24,"Business travel","Eco",1353,2,5,2,5,5,2,5,5,3,4,5,5,5,5,0,2
"111","satisfied","Loyal Customer",29,"Business travel","Business",3009,5,5,5,5,4,4,4,4,3,5,3,4,4,4,0,0
"112","dissatisfied","disloyal Customer",59,"Business travel","Eco",1034,1,0,1,3,3,1,4,3,3,4,1,2,5,3,17,16
"113","satisfied","Loyal Customer",27,"Business travel","Eco",1909,4,4,3,4,4,5,4,4,5,2,4,2,3,4,18,0
"114","dissatisfied","Loyal Customer",56,"Personal Travel","Eco",3245,3,4,3,5,5,3,5,5,5,5,4,4,2,5,0,0
"115","dissatisfied","Loyal Customer",44,"Personal Travel","Eco",4576,2,5,2,4,2,3,3,3,5,3,4,3,4,3,5,0
"116","satisfied","Loyal Customer",41,"Business travel","Business",1406,2,2,2,2,3,5,4,3,3,4,3,5,3,4,6,0
"117","dissatisfied","Loyal Customer",20,"Personal Travel","Eco",1663,2,5,2,3,2,2,1,2,3,4,5,3,5,2,0,0
"118","satisfied","Loyal Customer",62,"Personal Travel","Eco",83,1,1,1,1,2,4,5,5,5,5,5,4,5,4,0,0
"119","dissatisfied","Loyal Customer",34,"Personal Travel","Eco",1540,4,4,4,5,5,4,1,5,5,3,5,3,5,5,2,0
"120","satisfied","Loyal Customer",41,"Business travel","Business",3062,3,3,3,3,4,4,5,5,5,5,5,3,5,5,40,41
"121","satisfied","Loyal Customer",14,"Personal Travel","Eco",2651,4,5,4,4,5,4,3,5,4,1,5,3,4,5,18,1
"122","satisfied","Loyal Customer",24,"Business travel","Business",3512,3,3,3,3,3,4,3,3,1,5,2,5,5,3,8,3
"123","satisfied","Loyal Customer",43,"Business travel","Business",2030,5,5,5,5,2,5,5,4,4,4,4,3,4,4,28,36
"124","satisfied","Loyal Customer",20,"Business travel","Eco Plus",2353,0,3,0,2,2,0,2,2,2,1,4,2,2,2,18,9
"125","dissatisfied","Loyal Customer",33,"Personal Travel","Eco",1366,2,5,2,3,2,2,2,2,4,3,5,3,5,2,0,0
"126","dissatisfied","Loyal Customer",47,"Business travel","Business",2337,3,5,5,5,2,4,4,3,3,3,3,4,3,1,9,41
"127","satisfied","Loyal Customer",48,"Business travel","Business",554,3,3,3,3,2,4,4,4,4,4,4,5,4,5,0,0
"128","dissatisfied","Loyal Customer",58,"Personal Travel","Eco",1302,1,4,0,4,2,0,2,2,3,3,4,2,4,2,2,7
"129","satisfied","Loyal Customer",68,"Personal Travel","Eco",682,1,1,1,1,5,5,5,3,3,4,3,5,3,3,0,0
"130","dissatisfied","Loyal Customer",47,"Business travel","Business",1513,1,2,2,2,5,1,1,1,1,1,1,3,1,1,13,11
"131","satisfied","Loyal Customer",52,"Personal Travel","Eco",2097,5,5,5,5,4,5,4,4,4,2,4,5,4,4,0,0
"132","satisfied","Loyal Customer",57,"Business travel","Business",1633,1,1,5,1,4,5,4,2,2,3,2,4,2,5,9,0
"133","satisfied","Loyal Customer",40,"Personal Travel","Eco",1766,5,4,5,4,3,5,3,3,1,4,4,4,3,3,0,0
"134","dissatisfied","disloyal Customer",25,"Business travel","Eco",1563,3,3,3,4,5,3,5,5,4,4,3,2,4,5,0,0
"135","satisfied","Loyal Customer",32,"Business travel","Business",3945,4,4,4,4,5,5,5,5,5,4,3,2,3,5,0,0
"136","dissatisfied","disloyal Customer",38,"Business travel","Eco",1860,2,4,2,1,5,2,5,5,5,3,4,3,5,5,3,0
"137","satisfied","Loyal Customer",34,"Business travel","Business",496,5,5,2,5,5,5,4,3,3,4,3,3,3,4,41,43
"138","satisfied","Loyal Customer",30,"Business travel","Business",3359,1,1,5,1,4,4,4,4,3,4,4,4,4,4,0,0
"139","satisfied","Loyal Customer",20,"Personal Travel","Eco",2361,1,1,1,1,2,4,4,4,4,4,4,4,4,4,12,21
"140","dissatisfied","Loyal Customer",9,"Personal Travel","Eco",2587,3,2,3,3,5,3,5,5,4,2,2,2,2,5,0,1
"141","dissatisfied","Loyal Customer",54,"Business travel","Eco Plus",2775,3,4,4,4,3,3,3,3,3,5,4,1,4,3,0,0
"142","satisfied","Loyal Customer",41,"Business travel","Business",579,1,1,2,1,4,4,5,5,5,5,5,4,5,3,0,9
"143","satisfied","Loyal Customer",54,"Business travel","Business",2960,1,1,3,1,4,5,5,4,4,4,4,5,4,5,0,0
"144","dissatisfied","Loyal Customer",60,"Business travel","Eco Plus",124,2,1,4,1,2,4,3,2,2,2,2,4,2,2,57,63
"145","satisfied","Loyal Customer",40,"Business travel","Business",1667,4,4,4,4,2,4,5,3,3,3,3,4,3,4,0,0
"146","dissatisfied","disloyal Customer",24,"Business travel","Eco",1484,3,4,3,4,5,3,3,5,1,1,3,2,3,5,0,0
"147","dissatisfied","disloyal Customer",26,"Business travel","Business",2279,2,2,2,3,1,2,1,1,2,2,2,4,2,1,0,0
"148","satisfied","Loyal Customer",41,"Business travel","Business",1091,2,2,2,2,2,4,4,5,5,5,5,3,5,3,6,0
"149","satisfied","Loyal Customer",50,"Business travel","Eco Plus",3600,5,1,1,1,5,5,5,5,4,3,4,1,1,5,11,0
"150","dissatisfied","disloyal Customer",28,"Business travel","Business",1971,2,2,2,2,1,2,1,1,5,3,5,4,4,1,1,0
"151","satisfied","Loyal Customer",58,"Personal Travel","Eco",552,1,1,1,1,4,4,5,5,5,5,5,5,5,3,0,0
"152","dissatisfied","Loyal Customer",48,"Business travel","Eco",3095,1,5,4,5,1,1,1,1,2,2,3,3,3,1,35,21
"153","dissatisfied","Loyal Customer",71,"Business travel","Business",3798,2,5,3,5,1,3,4,2,2,2,2,3,2,1,0,0
"154","satisfied","Loyal Customer",36,"Business travel","Business",597,3,3,3,3,3,4,5,5,5,5,5,5,5,2,0,0
"155","satisfied","Loyal Customer",28,"Personal Travel","Eco",2514,2,2,2,2,3,4,4,5,5,5,5,4,5,5,0,0
"156","dissatisfied","Loyal Customer",33,"Personal Travel","Eco Plus",1910,3,4,3,4,5,3,5,5,5,5,4,4,4,5,59,52
"157","satisfied","Loyal Customer",61,"Personal Travel","Eco",309,0,3,0,3,2,2,3,5,5,5,5,1,5,2,0,0
"158","satisfied","Loyal Customer",49,"Business travel","Business",1792,1,1,1,1,4,5,4,3,3,3,3,5,3,5,0,1
"159","dissatisfied","disloyal Customer",59,"Business travel","Eco",1523,2,0,2,3,3,2,3,3,1,3,5,2,1,3,4,0
"160","satisfied","Loyal Customer",41,"Business travel","Business",703,3,3,3,3,1,2,1,4,4,4,4,3,4,4,0,0
"161","dissatisfied","Loyal Customer",40,"Personal Travel","Business",1758,2,5,2,2,5,3,5,4,4,2,4,3,4,5,0,0
"162","satisfied","Loyal Customer",67,"Personal Travel","Eco Plus",1468,2,2,2,2,4,5,4,4,5,2,4,4,4,4,0,0
"163","dissatisfied","Loyal Customer",36,"Personal Travel","Eco",1870,4,4,5,2,4,5,4,4,5,5,4,4,5,4,0,0
"164","satisfied","Loyal Customer",57,"Personal Travel","Eco",98,1,1,1,1,5,4,5,4,4,4,4,5,4,4,0,11
"165","dissatisfied","Loyal Customer",62,"Business travel","Business",2273,3,5,2,5,4,2,2,3,3,3,3,3,3,1,0,0
"166","dissatisfied","Loyal Customer",52,"Business travel","Business",385,3,2,2,2,4,4,4,3,3,3,3,4,3,4,0,0
"167","dissatisfied","Loyal Customer",61,"Personal Travel","Eco",2111,2,5,2,4,3,2,3,3,5,3,1,5,4,3,0,0
"168","dissatisfied","Loyal Customer",39,"Business travel","Business",3301,2,1,1,1,2,2,2,2,2,1,2,3,2,2,5,1
"169","satisfied","Loyal Customer",28,"Personal Travel","Eco",2479,0,5,0,1,4,4,5,4,4,5,5,5,4,5,71,62
"170","dissatisfied","Loyal Customer",41,"Personal Travel","Eco",1747,3,5,3,2,2,3,5,2,4,5,5,4,5,2,7,0
"171","satisfied","Loyal Customer",35,"Business travel","Eco",1439,4,2,4,2,4,4,4,4,4,3,1,4,4,4,0,0
"172","dissatisfied","Loyal Customer",36,"Personal Travel","Eco",2136,3,5,3,4,4,3,4,4,4,2,4,3,5,4,0,0
"173","dissatisfied","Loyal Customer",41,"Business travel","Business",342,1,2,2,2,5,3,3,1,1,1,1,3,1,2,0,0
"174","dissatisfied","Loyal Customer",28,"Business travel","Eco Plus",1491,1,1,1,1,1,1,1,1,1,2,2,1,1,1,22,27
"175","dissatisfied","Loyal Customer",25,"Business travel","Eco",1779,3,1,2,2,3,3,3,3,1,1,3,1,3,3,0,0
"176","satisfied","Loyal Customer",18,"Personal Travel","Eco",3264,4,4,4,4,5,1,3,5,5,5,5,2,5,4,0,0
"177","dissatisfied","disloyal Customer",25,"Business travel","Business",2192,3,0,3,3,2,3,2,2,5,5,5,4,5,2,0,1
"178","satisfied","Loyal Customer",44,"Business travel","Business",3964,5,5,5,5,2,4,5,4,4,4,4,5,4,4,0,0
"179","dissatisfied","Loyal Customer",22,"Business travel","Business",1484,3,3,3,3,3,3,3,3,4,1,3,2,4,3,5,14
"180","satisfied","Loyal Customer",8,"Personal Travel","Eco",1691,4,4,4,4,4,4,5,4,4,4,4,5,4,3,8,0
"181","dissatisfied","Loyal Customer",20,"Personal Travel","Eco",2287,3,4,3,3,5,3,5,5,3,5,4,3,5,5,0,0
"182","satisfied","Loyal Customer",26,"Business travel","Eco",2607,0,4,0,4,5,4,5,5,3,4,5,5,2,5,0,0
"183","dissatisfied","disloyal Customer",26,"Business travel","Eco",1141,2,2,2,3,3,2,3,3,1,4,4,1,4,3,81,77
"184","satisfied","Loyal Customer",49,"Business travel","Business",3879,3,3,3,3,3,1,5,4,4,4,4,5,4,2,0,0
"185","dissatisfied","disloyal Customer",61,"Business travel","Business",2062,1,0,0,3,3,1,3,3,5,2,4,5,4,3,0,0
"186","satisfied","Loyal Customer",53,"Business travel","Business",2779,2,2,2,2,2,5,3,5,5,5,5,5,5,5,97,102
"187","satisfied","Loyal Customer",27,"Business travel","Business",5577,3,3,3,3,5,5,5,5,1,4,4,5,2,5,0,0
"188","satisfied","Loyal Customer",50,"Business travel","Business",1960,5,5,5,5,5,5,5,4,4,4,4,3,4,5,0,3
"189","satisfied","disloyal Customer",21,"Business travel","Business",2175,4,0,4,1,1,4,1,1,5,4,4,5,5,1,7,0
"190","satisfied","Loyal Customer",47,"Business travel","Business",2728,4,4,4,4,3,4,4,5,5,5,5,3,5,3,11,6
"191","dissatisfied","Loyal Customer",18,"Personal Travel","Eco",1441,1,4,2,2,5,2,5,5,5,2,4,4,4,5,10,9
"192","satisfied","Loyal Customer",43,"Business travel","Business",660,5,5,5,5,4,4,4,3,3,3,3,5,3,4,0,0
"193","satisfied","Loyal Customer",31,"Personal Travel","Eco",2559,5,4,5,5,2,4,5,5,5,5,5,3,5,3,0,0
"194","satisfied","Loyal Customer",26,"Personal Travel","Eco",2175,5,4,5,1,3,5,3,3,3,5,5,4,4,3,0,0
"195","dissatisfied","Loyal Customer",14,"Personal Travel","Eco",1238,1,5,1,3,5,1,5,5,4,5,3,4,5,5,11,1
"196","dissatisfied","disloyal Customer",7,"Business travel","Eco",2016,4,2,4,4,5,4,5,5,4,2,3,3,4,5,22,11
"197","satisfied","Loyal Customer",25,"Personal Travel","Eco",2588,4,4,3,4,1,4,3,5,5,5,5,3,5,2,0,0
"198","satisfied","Loyal Customer",9,"Personal Travel","Eco Plus",1890,0,4,0,3,1,0,1,1,5,3,2,2,5,1,0,0
"199","satisfied","Loyal Customer",50,"Personal Travel","Eco",369,5,2,5,3,3,2,3,5,5,5,5,1,5,3,0,0
"200","dissatisfied","Loyal Customer",46,"Personal Travel","Eco",2912,1,3,0,3,3,0,3,3,5,1,1,1,3,3,32,27
"201","dissatisfied","disloyal Customer",36,"Business travel","Eco",1371,3,0,3,1,3,3,3,3,2,1,4,5,2,3,4,16
"202","satisfied","Loyal Customer",57,"Business travel","Business",2950,5,5,5,5,2,1,5,4,4,4,4,1,4,3,0,5
"203","satisfied","Loyal Customer",59,"Business travel","Business",3347,2,2,2,2,5,5,4,3,3,3,3,5,3,3,0,3
"204","dissatisfied","disloyal Customer",43,"Business travel","Eco",1945,2,4,2,4,4,2,2,4,3,5,4,3,3,4,0,6
"205","satisfied","Loyal Customer",20,"Business travel","Business",5019,3,3,3,3,4,4,4,4,3,1,3,2,3,4,0,0
"206","satisfied","Loyal Customer",45,"Business travel","Business",3658,0,4,0,2,4,5,5,3,3,3,2,4,3,5,0,0
"207","dissatisfied","disloyal Customer",22,"Business travel","Eco",1398,2,0,2,5,1,2,1,1,4,3,4,5,5,1,101,100
"208","dissatisfied","disloyal Customer",33,"Business travel","Eco",1381,3,1,3,3,1,3,2,1,3,5,4,4,4,1,0,12
"209","dissatisfied","disloyal Customer",31,"Business travel","Business",2793,1,1,1,3,1,1,1,1,3,2,3,1,2,1,4,0
"210","satisfied","Loyal Customer",19,"Personal Travel","Eco",1680,1,1,1,1,4,5,4,4,4,4,4,3,4,5,0,0
"211","satisfied","Loyal Customer",53,"Business travel","Business",2993,1,1,2,1,2,4,5,2,2,2,2,3,2,3,0,4
"212","dissatisfied","Loyal Customer",22,"Business travel","Eco Plus",1885,0,4,4,4,0,1,2,0,4,1,3,2,3,0,0,0
